"Date","Android","Windows","iOS","Unknown","OS X","Linux","Samsung","KaiOS","Chrome OS","Nokia Unknown","Playstation","Other"
2022-04,54.47,25.63,13.04,2.4,3.01,0.91,0.27,0.16,0.07,0.02,0.02,0.02
2022-05,56.04,24.13,13.26,2.33,2.87,0.84,0.26,0.16,0.07,0.01,0.01,0.01
2022-06,57.05,23.66,12.94,2.39,2.69,0.8,0.26,0.1,0.07,0.01,0.01,0.01
2022-07,57.37,22.53,13.36,2.82,2.52,0.98,0.25,0.07,0.06,0.01,0.01,0.01
2022-08,56.53,23.72,12.55,3.11,2.6,1.09,0.25,0.05,0.07,0.01,0.01,0.01
2022-09,57.48,23.88,12.11,2.47,2.51,1.16,0.22,0.05,0.07,0.02,0.01,0.02
2022-10,58.45,23.84,11.93,1.7,2.57,1.08,0.23,0.1,0.08,0.01,0.01,0.01
2022-11,59.54,22.74,11.95,2.05,2.24,1.06,0.22,0.09,0.08,0.01,0.01,0.01
2022-12,58.64,23.22,12.19,2.29,2.12,1.07,0.24,0.13,0.07,0.01,0.01,0.01
2023-01,57.98,23.77,11.72,2.68,2.25,1.14,0.22,0.13,0.08,0.01,0.01,0.01
2023-02,58.05,22.31,12.74,3.01,2.26,1.14,0.22,0.17,0.08,0.01,0.01,0.01
2023-03,56.19,22.38,13.42,3.89,2.46,1.15,0.25,0.14,0.1,0.01,0.01,0.01
2023-04,52.35,21.28,14.4,7.46,2.6,1.33,0.29,0.14,0.11,0.01,0.01,0.01
