"Date","Windows","Android","iOS","OS X","Unknown","Linux","Chrome OS","Samsung","Playstation","Other"
2022-04,34.74,38.96,15.8,6.85,1.32,1.26,0.71,0.27,0.06,0.03
2022-05,36.61,35.37,17.05,7.19,1.2,1.16,0.99,0.35,0.05,0.02
2022-06,37.15,34.74,17.41,7.01,1.15,1.12,0.95,0.4,0.05,0.02
2022-07,36.27,35.75,17.68,6.56,1.31,1.17,0.76,0.42,0.05,0.02
2022-08,35.53,36.12,17.74,6.52,1.55,1.22,0.82,0.42,0.05,0.04
2022-09,37.51,33.09,18.16,7.44,1.21,1.09,1.11,0.33,0.04,0.03
2022-10,38.7,30.75,19.65,7.8,0.82,0.99,1.03,0.2,0.04,0.02
2022-11,37.67,32.58,18.85,7.46,1.01,1.12,1.04,0.22,0.04,0.02
2022-12,35.77,34.42,19.18,7.1,1.24,1.15,0.85,0.25,0.04,0.02
2023-01,37.16,32.79,18.96,7.3,1.39,1.13,0.96,0.25,0.04,0.02
2023-02,36.81,33.15,18.43,7.36,1.63,1.17,1.14,0.25,0.04,0.02
2023-03,36.23,33.29,18.16,7.51,2.18,1.18,1.16,0.25,0.04,0.02
2023-04,34.93,31.28,18.7,7.11,5.04,1.21,1.43,0.25,0.04,0.02
