"Date","Windows","iOS","Android","OS X","Unknown","Chrome OS","Linux","Samsung","Playstation","Other"
2022-04,36.8,25.66,19.66,14.25,1.01,0.91,0.97,0.67,0.05,0.02
2022-05,36.96,25.28,18.9,15.43,0.93,1.19,0.79,0.45,0.05,0.02
2022-06,39.67,23.88,18.17,14.85,0.88,1.33,0.77,0.39,0.04,0.02
2022-07,35.24,21.12,26.53,12.19,2.72,1.04,0.76,0.35,0.04,0.02
2022-08,37.86,23.32,20.2,14.52,1.58,1.37,0.74,0.34,0.04,0.02
2022-09,34.6,26.44,19.79,15.93,1.03,0.99,0.8,0.36,0.04,0.02
2022-10,34.66,27.18,18.72,16.73,0.71,0.91,0.71,0.33,0.03,0.02
2022-11,34.98,26.75,19.51,15.51,0.83,1.18,0.83,0.35,0.03,0.02
2022-12,32.47,28.55,21.63,14.16,1.06,0.72,0.94,0.41,0.04,0.02
2023-01,32.27,29,21.14,14.39,1.15,0.6,0.97,0.4,0.05,0.02
2023-02,33.11,27.66,20.18,15.29,1.28,0.98,1.05,0.38,0.04,0.02
2023-03,33.74,27.36,19.44,15.39,1.67,1.05,0.9,0.38,0.04,0.02
2023-04,32.27,28.25,18.34,15.62,3.15,0.98,0.92,0.41,0.05,0.02
